,x,y,x_scaled,y_scaled
0,2048,2050,0.0,0.009765625
1,2049,2049,0.001611328125,0.0048828125
2,2050,2050,0.00322265625,0.009765625
3,2051,2050,0.004833984374999999,0.009765625
4,2052,2050,0.0064453125,0.009765625
5,2053,2046,0.008056640625,-0.009765625
6,2054,2051,0.009667968749999999,0.0146484375
7,2055,2049,0.011279296874999999,0.0048828125
8,2056,2049,0.012890625,0.0048828125
9,2057,2050,0.014501953125,0.009765625
10,2058,2050,0.01611328125,0.009765625
11,2059,2050,0.017724609375,0.009765625
12,2060,2049,0.019335937499999997,0.0048828125
13,2061,2050,0.020947265625,0.009765625
14,2062,2050,0.022558593749999998,0.009765625
15,2063,2050,0.024169921875,0.009765625
16,2064,2049,0.02578125,0.0048828125
17,2065,2048,0.027392578124999997,0.0
18,2066,2050,0.02900390625,0.009765625
19,2067,2049,0.030615234374999998,0.0048828125
20,2068,2050,0.0322265625,0.009765625
21,2069,2050,0.033837890625,0.009765625
22,2070,2050,0.03544921875,0.009765625
23,2071,2050,0.037060546874999996,0.009765625
24,2072,2050,0.038671874999999994,0.009765625
25,2073,2049,0.040283203125,0.0048828125
26,2074,2050,0.04189453125,0.009765625
27,2075,2050,0.043505859375,0.009765625
28,2076,2049,0.045117187499999996,0.0048828125
29,2077,2050,0.046728515624999994,0.009765625
30,2078,2050,0.04833984375,0.009765625
31,2079,2049,0.049951171875,0.0048828125
32,2080,2049,0.0515625,0.0048828125
33,2081,2050,0.053173828124999996,0.009765625
34,2082,2050,0.054785156249999994,0.009765625
35,2083,2050,0.056396484375,0.009765625
36,2084,2050,0.0580078125,0.009765625
37,2085,2050,0.059619140625,0.009765625
38,2086,2049,0.061230468749999996,0.0048828125
39,2087,2050,0.062841796875,0.009765625
40,2088,2050,0.064453125,0.009765625
41,2089,2050,0.06606445312499999,0.009765625
42,2090,2049,0.06767578125,0.0048828125
43,2091,2046,0.069287109375,-0.009765625
44,2092,2049,0.0708984375,0.0048828125
45,2093,2050,0.072509765625,0.009765625
46,2094,2050,0.07412109374999999,0.009765625
47,2095,2050,0.075732421875,0.009765625
48,2096,2050,0.07734374999999999,0.009765625
49,2097,2049,0.078955078125,0.0048828125
50,2098,2050,0.08056640625,0.009765625
51,2099,2050,0.08217773437499999,0.009765625
52,2100,2050,0.0837890625,0.009765625
53,2101,2050,0.08540039062499999,0.009765625
54,2102,2050,0.08701171875,0.009765625
55,2103,2045,0.088623046875,-0.0146484375
56,2104,2050,0.09023437499999999,0.009765625
57,2105,2050,0.091845703125,0.009765625
58,2106,2050,0.09345703124999999,0.009765625
59,2107,2050,0.095068359375,0.009765625
60,2108,2050,0.0966796875,0.009765625
61,2109,2050,0.09829101562499999,0.009765625
62,2110,2050,0.09990234375,0.009765625
63,2111,2050,0.10151367187499999,0.009765625
64,2112,2049,0.103125,0.0048828125
65,2113,2050,0.104736328125,0.009765625
66,2114,2050,0.10634765624999999,0.009765625
67,2115,2048,0.107958984375,0.0
68,2116,2049,0.10957031249999999,0.0048828125
69,2117,2050,0.111181640625,0.009765625
70,2118,2050,0.11279296875,0.009765625
71,2119,2050,0.11440429687499999,0.009765625
72,2120,2050,0.116015625,0.009765625
73,2121,2050,0.11762695312499999,0.009765625
74,2122,2050,0.11923828125,0.009765625
75,2123,2049,0.120849609375,0.0048828125
76,2124,2050,0.12246093749999999,0.009765625
77,2125,2050,0.124072265625,0.009765625
78,2126,2047,0.12568359375,-0.0048828125
79,2127,2049,0.127294921875,0.0048828125
80,2128,2050,0.12890625,0.009765625
81,2129,2051,0.130517578125,0.0146484375
82,2130,2050,0.13212890624999998,0.009765625
83,2131,2050,0.133740234375,0.009765625
84,2132,2049,0.1353515625,0.0048828125
85,2133,2049,0.136962890625,0.0048828125
86,2134,2050,0.13857421875,0.009765625
87,2135,2051,0.14018554687499998,0.0146484375
88,2136,2050,0.141796875,0.009765625
89,2137,2049,0.143408203125,0.0048828125
90,2138,2050,0.14501953125,0.009765625
91,2139,2049,0.146630859375,0.0048828125
92,2140,2050,0.14824218749999998,0.009765625
93,2141,2050,0.149853515625,0.009765625
94,2142,2050,0.15146484375,0.009765625
95,2143,2050,0.153076171875,0.009765625
96,2144,2050,0.15468749999999998,0.009765625
97,2145,2049,0.15629882812499998,0.0048828125
98,2146,2047,0.15791015625,-0.0048828125
99,2147,2050,0.159521484375,0.009765625
100,2148,2049,0.1611328125,0.0048828125
101,2149,2050,0.16274414062499998,0.009765625
102,2150,2049,0.16435546874999998,0.0048828125
103,2151,2050,0.165966796875,0.009765625
104,2152,2047,0.167578125,-0.0048828125
105,2153,2049,0.169189453125,0.0048828125
106,2154,2049,0.17080078124999998,0.0048828125
107,2155,2049,0.17241210937499998,0.0048828125
108,2156,2049,0.1740234375,0.0048828125
109,2157,2050,0.175634765625,0.009765625
110,2158,2049,0.17724609375,0.0048828125
111,2159,2049,0.17885742187499998,0.0048828125
112,2160,2050,0.18046874999999998,0.009765625
113,2161,2049,0.182080078125,0.0048828125
114,2162,2050,0.18369140625,0.009765625
115,2163,2050,0.185302734375,0.009765625
116,2164,2049,0.18691406249999998,0.0048828125
117,2165,2050,0.18852539062499998,0.009765625
118,2166,2049,0.19013671875,0.0048828125
119,2167,2049,0.191748046875,0.0048828125
120,2168,2050,0.193359375,0.009765625
121,2169,2050,0.19497070312499998,0.009765625
122,2170,2050,0.19658203124999998,0.009765625
123,2171,2049,0.198193359375,0.0048828125
124,2172,2050,0.1998046875,0.009765625
125,2173,2052,0.201416015625,0.01953125
126,2174,2050,0.20302734374999998,0.009765625
127,2175,2050,0.20463867187499998,0.009765625
128,2176,2050,0.20625,0.009765625
129,2177,2049,0.207861328125,0.0048828125
130,2178,2049,0.20947265625,0.0048828125
131,2179,2049,0.21108398437499998,0.0048828125
132,2180,2050,0.21269531249999998,0.009765625
133,2181,2049,0.214306640625,0.0048828125
134,2182,2050,0.21591796875,0.009765625
135,2183,2051,0.217529296875,0.0146484375
136,2184,2050,0.21914062499999998,0.009765625
137,2185,2049,0.22075195312499998,0.0048828125
138,2186,2049,0.22236328125,0.0048828125
139,2187,2049,0.223974609375,0.0048828125
140,2188,2049,0.2255859375,0.0048828125
141,2189,2048,0.22719726562499998,0.0
142,2190,2049,0.22880859374999998,0.0048828125
143,2191,2050,0.230419921875,0.009765625
144,2192,2050,0.23203125,0.009765625
145,2193,2049,0.233642578125,0.0048828125
146,2194,2050,0.23525390624999998,0.009765625
147,2195,2050,0.23686523437499998,0.009765625
148,2196,2050,0.2384765625,0.009765625
149,2197,2050,0.240087890625,0.009765625
150,2198,2050,0.24169921875,0.009765625
151,2199,2049,0.24331054687499998,0.0048828125
152,2200,2049,0.24492187499999998,0.0048828125
153,2201,2050,0.246533203125,0.009765625
154,2202,2049,0.24814453125,0.0048828125
155,2203,2050,0.249755859375,0.009765625
156,2204,2050,0.2513671875,0.009765625
157,2205,2050,0.252978515625,0.009765625
158,2206,2050,0.25458984375,0.009765625
159,2207,2049,0.25620117187499997,0.0048828125
160,2208,2050,0.2578125,0.009765625
161,2209,2049,0.259423828125,0.0048828125
162,2210,2050,0.26103515625,0.009765625
163,2211,2050,0.262646484375,0.009765625
164,2212,2049,0.26425781249999997,0.0048828125
165,2213,2050,0.265869140625,0.009765625
166,2214,2050,0.26748046875,0.009765625
167,2215,2050,0.269091796875,0.009765625
168,2216,2050,0.270703125,0.009765625
169,2217,2048,0.27231445312499997,0.0
170,2218,2050,0.27392578125,0.009765625
171,2219,2049,0.275537109375,0.0048828125
172,2220,2050,0.2771484375,0.009765625
173,2221,2050,0.278759765625,0.009765625
174,2222,2050,0.28037109374999997,0.009765625
175,2223,2049,0.281982421875,0.0048828125
176,2224,2050,0.28359375,0.009765625
177,2225,2046,0.285205078125,-0.009765625
178,2226,2050,0.28681640625,0.009765625
179,2227,2049,0.28842773437499997,0.0048828125
180,2228,2050,0.2900390625,0.009765625
181,2229,2050,0.291650390625,0.009765625
182,2230,2050,0.29326171875,0.009765625
183,2231,2050,0.294873046875,0.009765625
184,2232,2048,0.29648437499999997,0.0
185,2233,2050,0.298095703125,0.009765625
186,2234,2049,0.29970703125,0.0048828125
187,2235,2049,0.301318359375,0.0048828125
188,2236,2050,0.3029296875,0.009765625
189,2237,2049,0.30454101562499997,0.0048828125
190,2238,2050,0.30615234375,0.009765625
191,2239,2050,0.307763671875,0.009765625
192,2240,2049,0.30937499999999996,0.0048828125
193,2241,2050,0.310986328125,0.009765625
194,2242,2049,0.31259765624999997,0.0048828125
195,2243,2050,0.314208984375,0.009765625
196,2244,2050,0.3158203125,0.009765625
197,2245,2050,0.31743164062499996,0.009765625
198,2246,2049,0.31904296875,0.0048828125
199,2247,2049,0.32065429687499997,0.0048828125
200,2248,2050,0.322265625,0.009765625
201,2249,2049,0.323876953125,0.0048828125
202,2250,2050,0.32548828124999996,0.009765625
203,2251,2050,0.327099609375,0.009765625
204,2252,2050,0.32871093749999997,0.009765625
205,2253,2050,0.330322265625,0.009765625
206,2254,2049,0.33193359375,0.0048828125
207,2255,2050,0.33354492187499996,0.009765625
208,2256,2050,0.33515625,0.009765625
209,2257,2050,0.33676757812499997,0.009765625
210,2258,2050,0.33837890625,0.009765625
211,2259,2050,0.339990234375,0.009765625
212,2260,2049,0.34160156249999996,0.0048828125
213,2261,2049,0.343212890625,0.0048828125
214,2262,2049,0.34482421874999997,0.0048828125
215,2263,2049,0.346435546875,0.0048828125
216,2264,2050,0.348046875,0.009765625
217,2265,2047,0.34965820312499996,-0.0048828125
218,2266,2050,0.35126953125,0.009765625
219,2267,2049,0.35288085937499997,0.0048828125
220,2268,2050,0.3544921875,0.009765625
221,2269,2050,0.356103515625,0.009765625
222,2270,2050,0.35771484374999996,0.009765625
223,2271,2050,0.359326171875,0.009765625
224,2272,2049,0.36093749999999997,0.0048828125
225,2273,2049,0.362548828125,0.0048828125
226,2274,2050,0.36416015625,0.009765625
227,2275,2050,0.36577148437499996,0.009765625
228,2276,2049,0.3673828125,0.0048828125
229,2277,2049,0.36899414062499997,0.0048828125
230,2278,2050,0.37060546875,0.009765625
231,2279,2050,0.372216796875,0.009765625
232,2280,2049,0.37382812499999996,0.0048828125
233,2281,2050,0.375439453125,0.009765625
234,2282,2050,0.37705078124999997,0.009765625
235,2283,2051,0.378662109375,0.0146484375
236,2284,2050,0.3802734375,0.009765625
237,2285,2050,0.38188476562499996,0.009765625
238,2286,2050,0.38349609375,0.009765625
239,2287,2049,0.38510742187499997,0.0048828125
240,2288,2049,0.38671875,0.0048828125
241,2289,2049,0.388330078125,0.0048828125
242,2290,2050,0.38994140624999996,0.009765625
243,2291,2050,0.391552734375,0.009765625
244,2292,2049,0.39316406249999997,0.0048828125
245,2293,2049,0.394775390625,0.0048828125
246,2294,2050,0.39638671875,0.009765625
247,2295,2049,0.39799804687499996,0.0048828125
248,2296,2050,0.399609375,0.009765625
249,2297,2050,0.40122070312499997,0.009765625
250,2298,2049,0.40283203125,0.0048828125
251,2299,2049,0.404443359375,0.0048828125
252,2300,2050,0.40605468749999996,0.009765625
253,2301,2051,0.407666015625,0.0146484375
254,2302,2049,0.40927734374999997,0.0048828125
255,2303,2050,0.410888671875,0.009765625
256,2304,2050,0.4125,0.009765625
257,2305,2047,0.41411132812499996,-0.0048828125
